Year, city1                                  , city2                                  , nsmiles, fare
2024, "Charleston, SC"                       , "Miami, FL (Metropolitan Area)"        ,     489, 136.98
2024, "Charleston, SC"                       , "Los Angeles, CA (Metropolitan Area)"  ,    2206, 376.0
2024, "Charleston, SC"                       , "Tampa, FL (Metropolitan Area)"        ,     370, 153.94
2024, "Cedar Rapids/Iowa City, IA"           , "Phoenix, AZ"                          ,    1252, 129.58
2024, "Charlotte, NC"                        , "Dallas/Fort Worth, TX"                ,     936, 196.39
2024, "Charlotte, NC"                        , "Phoenix, AZ"                          ,    1773, 349.2
2024, "Charlotte, NC"                        , "Cleveland, OH (Metropolitan Area)"    ,     430, 273.95
2024, "Charlotte, NC"                        , "Washington, DC (Metropolitan Area)"   ,     361, 197.98
2024, "Charlotte, NC"                        , "Chicago, IL"                          ,     599, 143.12
2024, "Charlotte, NC"                        , "Houston, TX"                          ,     920, 270.13
2024, "Charlotte, NC"                        , "New York City, NY (Metropolitan Area)",     575, 208.38
2024, "Charlotte, NC"                        , "San Francisco, CA (Metropolitan Area)",    2296, 259.67
2024, "Charlotte, NC"                        , "Miami, FL (Metropolitan Area)"        ,     650, 187.29
2024, "Charlotte, NC"                        , "Los Angeles, CA (Metropolitan Area)"  ,    2125, 327.45
2024, "Charlotte, NC"                        , "Tampa, FL (Metropolitan Area)"        ,     507, 234.65
2024, "Columbus, OH"                         , "Dallas/Fort Worth, TX"                ,     926, 225.28
2024, "Columbus, OH"                         , "Denver, CO"                           ,    1154, 229.11
2024, "Columbus, OH"                         , "Phoenix, AZ"                          ,    1670, 310.19
2024, "Columbus, OH"                         , "Seattle, WA"                          ,    2016, 245.22
2024, "Columbus, OH"                         , "Washington, DC (Metropolitan Area)"   ,     337, 194.29
2024, "Columbus, OH"                         , "Houston, TX"                          ,    1000, 251.09
2024, "Columbus, OH"                         , "Orlando, FL"                          ,     802, 185.7
2024, "Columbus, OH"                         , "Minneapolis/St. Paul, MN"             ,     626, 297.7
2024, "Columbus, OH"                         , "New York City, NY (Metropolitan Area)",     519, 229.28
2024, "Columbus, OH"                         , "Fort Myers, FL"                       ,     930, 219.76
